price,volume,sma
37.35,3138230,44.9
37.31,2044994,44.95
36.22,2235402,45.01
37.35,2123003,45.06
35.77,2015776,45.12
34.26,2978858,45.17
33.2,2830251,45.21
33.2,3523240,45.25
33.65,3569094,45.29
34.41,3772783,45.33
32.6,4730692,45.36
32.52,3198065,45.39
31.69,1968104,45.41
28.98,2929789,45.42
30.18,3445231,45.43
29.16,2388483,45.44
27.28,3050156,45.44
27.77,3916777,45.45
28.95,4224616,45.46
29.54,3677439,45.48
30.52,3008216,45.49
32.07,5556071,45.51
34.94,5531187,45.55
33.28,3998839,45.57
31.5,2791806,45.59
30.6,2161588,45.59
29.92,3090419,45.58
27.65,5527832,45.53
27.01,4176665,45.45
26.79,5075439,45.34
28.03,4157233,45.25
26.15,2883235,45.16
24.67,5637854,45.09
26.41,4599839,45.03
28.11,4653662,44.99
30.82,5035177,44.95
29.01,3616067,44.89
25.73,5268503,44.81
26.56,6379074,44.74
27.62,4527143,44.67
27.47,2719529,44.61
27.96,3913002,44.53
28.26,3398119,44.46
29.05,3432789,44.4
28.26,2376740,44.33
27.99,2365835,44.27
27.73,2191505,44.2
26.79,2386386,44.13
26.3,3967384,44.05
23.81,4960104,43.97
23.73,5977289,43.89
25.73,3953125,43.8
26.18,2409872,43.7
25.13,2773912,43.59
28.6,7868084,43.5
26.94,4141016,43.4
29.35,10100690,43.31
28.98,3668492,43.22
30.75,1746521,43.15
30.48,2995495,43.07
30.6,3540155,42.99
32.52,4385107,42.91
31.5,4962620,42.82
31.99,3628649,42.69
30.79,2895118,42.56
33.24,5472331,42.45
31.39,4366933,42.31
32.6,3059942,42.15
35.88,4409991,42.0
34.86,3181289,41.87
34.56,2134187,41.73
35.13,4095581,41.58
35.77,4246844,41.44
34.33,6050963,41.28
34.41,3403431,40.98
34.45,3278590,40.72
31.69,4698678,40.42
31.01,4023724,40.11
33.01,2558759,39.85
32.3,1579041,39.61
33.77,3748457,39.42
33.39,1763297,39.24
33.05,2069320,39.05
30.71,2261684,38.84
33.88,4502678,38.66
35.16,4398388,38.49
33.24,3277052,38.3
