price,volume,sma
7.28,976566743,4.51
6.95,1031889331,4.53
7.11,660109011,4.55
7.02,509767599,4.57
7.03,514047581,4.59
6.92,405189077,4.61
6.83,838454999,4.64
6.89,500364485,4.66
6.96,418940428,4.68
7.12,844140229,4.7
7.15,607560783,4.73
7.19,420530365,4.75
7.2,564363474,4.77
7.39,713512433,4.8
7.56,714785186,4.82
7.5,764314139,4.85
7.27,734691521,4.87
7.31,606039101,4.89
7.24,370487492,4.91
7.35,300883574,4.93
7.24,321211484,4.96
7.34,428484066,4.98
7.36,299422117,5.0
7.29,336869956,5.02
7.25,235475323,5.04
7.43,459230882,5.07
7.48,428307406,5.09
7.48,338801168,5.11
7.44,249242734,5.13
7.7,506748324,5.15
7.75,574561556,5.17
7.8,794543021,5.2
7.51,938978379,5.22
7.35,387800142,5.24
7.36,394147846,5.26
7.38,289798178,5.28
7.29,237912424,5.29
7.15,335785908,5.31
7.25,227344963,5.33
7.43,292701018,5.35
7.39,238113174,5.37
7.4,210245108,5.39
7.26,238478538,5.41
7.24,179943955,5.42
7.24,232038489,5.44
7.1,276191367,5.45
7.06,301722708,5.46
7.2,264423423,5.48
7.06,328213631,5.49
7.1,285433881,5.5
7.08,155914222,5.51
6.96,476692087,5.52
6.96,222547046,5.53
6.81,273541472,5.54
6.95,233740846,5.56
7.02,345012362,5.57
7.02,175720183,5.59
7.05,150775031,5.6
7.17,237005036,5.61
7.14,192398464,5.63
7.11,202114747,5.64
7.11,110095123,5.65
7.17,137894934,5.67
7.13,169123549,5.68
7.33,301104399,5.7
7.34,265523531,5.71
7.43,176278267,5.73
7.7,417017246,5.75
7.74,413540262,5.76
7.53,452722579,5.78
7.52,620966845,5.79
7.46,304328438,5.81
7.55,231339881,5.82
7.65,375441994,5.84
7.75,406305245,5.86
7.74,522206047,5.87
7.84,340623975,5.89
7.81,397259466,5.91
7.8,275954483,5.93
7.6,321095049,5.94
7.69,225393676,5.96
7.86,367424053,5.98
7.92,367785402,5.99
7.73,367143003,6.01
7.72,334384676,6.03
7.77,320950509,6.04
7.78,271827070,6.06
7.72,223723439,6.07
7.61,342984790,6.09
7.48,373643277,6.1
7.39,424292413,6.11
7.36,342041267,6.13
7.58,303802474,6.14
7.54,284173173,6.15
7.67,281479113,6.17
7.53,558553779,6.18
8.45,919128253,6.2
8.66,378682093,6.22
8.62,276163262,6.24
8.83,357635500,6.26
8.77,206145800,6.28
8.9,237025111,6.3
9.25,575866428,6.32
9.43,656696267,6.34
9.43,424200069,6.36
9.59,299052737,6.39
9.7,354319116,6.41
9.81,385098052,6.44
9.69,317084071,6.47
9.42,420245300,6.49
9.72,366516664,6.51
9.7,283615089,6.54
9.86,313486637,6.56
9.76,346289130,6.59
9.89,349111670,6.61
10.02,369869183,6.64
9.94,282077347,6.66
10.17,414953540,6.69
10.35,385278727,6.71
10.51,404912042,6.74
10.65,194329675,6.77
10.52,441986487,6.8
10.03,863054861,6.83
10.06,626202395,6.85
10.29,391257051,6.88
10.38,302870996,6.91
10.08,413118688,6.93
10.05,607279734,6.96
10.04,468385066,6.99
10.2,357735875,7.02
10.17,306881974,7.04
10.25,279046027,7.07
10.37,327775997,7.1
10.41,266210095,7.13
10.5,242738446,7.16
10.69,655668429,7.19
10.55,880760980,7.22
10.68,404899997,7.25
10.59,450558497,7.28
10.73,302995460,7.31
10.71,184492943,7.34
10.55,269116950,7.37
10.6,285783185,7.4
10.44,278873383,7.43
10.31,304621533,7.46
10.81,526815259,7.49
11.06,613747887,7.53
11.21,433952486,7.56
11.57,712938289,7.6
11.6,513593887,7.63
11.67,365247927,7.67
11.72,361646478,7.7
11.52,406530084,7.74
11.58,307411953,7.77
11.61,332051965,7.81
11.05,822499417,7.84
10.84,583671575,7.87
9.92,1650832619,7.9
10.62,913065614,7.93
11.01,620902605,7.96
10.76,752401655,7.99
10.79,518982008,8.02
10.77,339355237,8.05
10.6,344843732,8.08
10.75,885948351,8.11
9.98,1088966472,8.14
9.84,474078326,8.16
9.48,734012987,8.18
9.57,358956433,8.21
9.14,667701363,8.23
9.17,835283155,8.24
8.91,478282024,8.26
9.01,611222457,8.28
8.59,791668286,8.29
8.53,588357072,8.31
8.51,519821141,8.32
9.1,855815829,8.34
9.16,574955025,8.36
9.11,348742290,8.38
9.08,260018976,8.39
9.39,503945859,8.41
9.38,260344190,8.43
9.7,410019113,8.45
9.01,1583416872,8.47
9.06,484256334,8.48
9.35,735960259,8.5
9.4,480273461,8.52
9.15,358928328,8.54
9.05,416708092,8.55
8.79,471585016,8.57
8.52,558501584,8.58
8.39,775921484,8.59
8.37,547741403,8.6
8.72,740794310,8.61
8.56,512666424,8.62
8.42,402169802,8.63
8.44,343350155,8.63
8.65,417864410,8.64
8.45,394717975,8.65
8.45,304978867,8.65
8.49,298502683,8.66
9.09,609500025,8.67
9.19,282001062,8.68
9.37,359173242,8.69
9.81,763952790,8.71
9.65,590673723,8.72
9.69,1466331647,8.73
9.68,326125835,8.75
10.05,630984252,8.76
10.14,538430634,8.78
10.22,345229172,8.79
10.09,282089392,8.81
10.35,374201361,8.82
10.18,445953300,8.84
10.16,241582128,8.85
9.99,263098475,8.86
10.11,331618345,8.88
10.04,326724069,8.89
10.2,272284779,8.91
10.31,492699864,8.92
10.86,905433112,8.94
10.94,354780840,8.96
10.61,384194678,8.97
10.58,292203159,8.99
10.44,334766100,9.01
10.38,297964674,9.02
9.91,416001453,9.03
9.81,526136725,9.04
9.79,324098263,9.06
9.81,186777474,9.07
9.8,243509324,9.08
9.81,205511431,9.09
10.16,366994449,9.1
10.01,248415646,9.11
9.62,357045296,9.12
9.3,405016432,9.13
9.35,344891912,9.14
9.23,260617209,9.15
9.3,427347823,9.17
9.22,234274840,9.17
9.19,457636930,9.18
9.22,345466056,9.19
9.33,360666820,9.2
9.47,383584400,9.21
9.52,329012615,9.23
9.47,147229793,9.24
9.24,173287097,9.25
9.24,320448635,9.26
9.51,252061259,9.27
9.43,256413512,9.28
9.3,223173385,9.29
9.69,411930250,9.31
9.6,357788070,9.32
9.77,415933198,9.33
9.6,247223193,9.35
9.48,201516513,9.36
9.6,307512327,9.37
9.55,312045255,9.39
9.71,272445379,9.4
9.71,212979318,9.41
9.64,306468429,9.42
9.62,162201701,9.44
9.99,351087046,9.45
9.94,237362370,9.46
10.06,213388847,9.48
10.04,142580431,9.49
10.0,164899777,9.5
10.09,148976315,9.52
10.38,267326263,9.53
10.42,251258261,9.54
10.51,86591354,9.56
10.47,200171490,9.57
10.51,148036806,9.59
10.45,242581861,9.6
10.39,178121149,9.62
10.55,239747276,9.63
10.37,197003661,9.64
10.16,278018189,9.65
10.03,303216285,9.67
10.13,233347377,9.68
10.01,342751921,9.69
9.91,342017177,9.7
9.62,503427925,9.71
9.69,471946365,9.72
9.71,324656348,9.73
9.67,231307761,9.74
9.58,222105397,9.75
9.5,226489769,9.76
9.64,163956253,9.77
9.61,184500973,9.78
9.33,219347097,9.79
9.12,284976172,9.8
9.33,254028606,9.8
9.29,204571922,9.81
9.39,158467758,9.82
9.47,230589077,9.83
9.37,173086347,9.84
9.3,171114986,9.84
9.16,151224711,9.84
9.18,199476896,9.84
9.47,268932260,9.85
9.63,235005569,9.85
9.59,203969673,9.85
9.52,198830482,9.85
9.37,161535213,9.85
9.4,167188323,9.85
9.28,146238089,9.85
9.29,139822131,9.85
9.27,99037832,9.84
9.46,167184308,9.84
9.42,179068687,9.84
9.46,162382376,9.84
9.4,118839777,9.84
9.41,107316747,9.84
9.55,163582859,9.84
9.44,149522354,9.83
9.4,154256030,9.83
9.39,123798294,9.83
9.54,181847062,9.82
9.74,218503948,9.82
10.1,392192544,9.82
10.04,215448538,9.81
10.18,314703180,9.81
10.3,285333506,9.82
10.03,573858932,9.81
9.86,367283528,9.81
10.11,429287065,9.81
10.03,186681114,9.81
10.04,230352192,9.81
10.11,212369039,9.81
10.01,235949093,9.81
10.03,205061752,9.81
9.99,132932403,9.81
9.97,146623529,9.81
10.04,219407321,9.8
10.33,267470802,9.8
10.23,232460064,9.8
10.45,294559960,9.8
10.66,304468963,9.8
10.6,393011603,9.8
10.6,226260915,9.8
10.62,194486260,9.8
10.62,145443121,9.8
10.48,173423607,9.8
10.45,209221284,9.8
10.42,241594173,9.8
10.59,461864718,9.79
11.42,467662368,9.8
11.95,606444615,9.8
11.76,347706422,9.8
12.09,368877480,9.8
12.05,282322262,9.8
11.81,265150137,9.8
11.84,263508004,9.8
11.84,252358369,9.81
11.62,217865564,9.81
11.68,210253137,9.81
11.72,197043811,9.82
11.85,200408375,9.83
11.74,196618221,9.83
11.8,319794191,9.84
11.74,195899538,9.84
11.77,112287309,9.85
11.95,174326980,9.85
12.16,290019003,9.86
12.22,336083018,9.87
12.32,204467533,9.88
12.39,221266263,9.9
12.3,205748315,9.91
12.66,338363534,9.93
12.62,180702789,9.95
12.55,69567783,9.97
12.04,294086191,9.98
12.16,313073093,10.0
12.04,253558852,10.02
12.05,223936234,10.03
11.95,226100315,10.05
12.05,196730641,10.06
12.1,164735162,10.08
12.14,178679233,10.09
11.99,187271318,10.11
12.03,159591956,10.12
12.02,131025281,10.13
11.97,167866857,10.15
11.9,187182988,10.16
11.98,190668002,10.17
11.93,208410256,10.19
11.5,321865927,10.2
11.64,264467588,10.21
11.5,175366863,10.22
11.33,279174507,10.24
11.32,160129965,10.25
11.37,83282999,10.27
11.63,169894428,10.28
11.49,125115211,10.3
11.44,102751700,10.31
11.62,309415434,10.33
12.01,316686586,10.34
12.1,275914333,10.36
12.01,190888826,10.38
12.06,216062832,10.4
12.16,239634856,10.41
12.42,289408724,10.43
12.55,179618741,10.45
12.53,303890804,10.46
12.36,268968395,10.47
12.12,238169384,10.48
12.17,199878396,10.5
11.95,216982266,10.51
11.9,187319498,10.52
12.4,243280470,10.53
12.13,255694828,10.54
12.32,220684089,10.55
12.24,191744020,10.56
12.28,167846782,10.57
12.46,490074058,10.58
11.97,628695706,10.59
11.96,252402534,10.6
11.61,289356529,10.61
11.71,213673912,10.61
11.68,165409681,10.62
11.7,163679219,10.62
11.48,195072449,10.63
11.39,231042771,10.63
11.41,163113105,10.63
11.58,228806420,10.64
11.47,162302076,10.65
11.68,248006116,10.66
11.73,163313855,10.67
11.82,226469694,10.68
11.82,230617182,10.69
11.69,155886118,10.7
11.55,159391206,10.7
11.15,373908266,10.71
11.17,322496281,10.72
11.14,348710170,10.73
10.9,264331078,10.73
10.96,255156819,10.74
11.37,302477526,10.75
11.32,262343656,10.76
11.3,215316044,10.77
11.25,199854306,10.78
11.3,139135567,10.79
11.01,256048147,10.8
11.13,321877972,10.81
11.09,158359353,10.82
10.95,227212468,10.83
11.11,208687290,10.84
11.06,137372985,10.84
11.34,232801338,10.85
11.48,228079706,10.86
11.47,165068406,10.87
11.55,189118214,10.88
11.52,150208917,10.89
11.48,184352418,10.9
11.45,160137995,10.91
11.38,135714793,10.92
11.39,138457033,10.93
11.74,261046814,10.94
11.7,151718555,10.95
